#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
17370,-23114.882801597618,2795.7073848215887,-20319.17541677603,148.45294159562323,86.9
17460,-23236.00425014217,2827.306435015,-20408.69781512717,150.1308611011866,86.9
17550,-22741.37076595417,2810.9228792022377,-19930.447886751932,149.26088913366044,87
17640,-22960.763317019926,2790.9568433327477,-20169.80647368718,148.2006863481609,86.9
17730,-22837.23349335225,2794.011247515629,-20043.222245836623,148.3628761711132,86.9
17820,-23000.516931197344,2829.9829686973562,-20170.533962499987,150.27298588169216,87
17910,-22958.927597187067,2788.3730609713148,-20170.55453621575,148.06348669197368,87
18000,-22965.065494636772,2786.029299902152,-20179.03619473462,147.93903224191087,87
18090,-22832.519503039774,2818.530635567759,-20013.988867472013,149.66486338988489,87
18180,-23033.9051841575,2773.092314736714,-20260.812869420784,147.25207425996499,87
18270,-23161.628320259188,2812.3923231997005,-20349.235997059488,149.33891707217708,87
18360,-22956.620915283187,2784.1908893367695,-20172.430025946418,147.84141206256976,87
18450,-22872.580273104904,2805.879475543207,-20066.700797561698,148.9930828128337,87
18540,-22909.275025237454,2828.5435287046803,-20080.731496532775,150.19655116526823,87
18630,-23061.706656676077,2795.4973020924226,-20266.209354583654,148.4417861366176,87.1
18720,-23229.646113769835,2798.2122124436355,-20431.4339013262,148.5859487303118,87
18810,-22867.27981345309,2798.871055737932,-20068.40875771516,148.62093351649503,87
18900,-22867.656735802273,2822.6630342489334,-20044.99370155334,149.88429505980744,87.1
18990,-23089.02735336483,2784.70905518606,-20304.31829817877,147.86892683216945,87.1
19080,-23045.170256265556,2808.025306599602,-20237.144949665955,149.10702711695455,87.1
19170,-22735.690039187408,2812.8006142400814,-19922.889424947327,149.36059745485974,87
19260,-22885.61299233802,2826.807492946901,-20058.80549939112,150.1043671204155,87
19350,-22719.492165729855,2770.0079454668535,-19949.484220263002,147.08829328146777,87
19440,-23018.600648665277,2801.9495049054826,-20216.651143759795,148.78440013569727,87
19530,-22832.082532589266,2854.7573177527256,-19977.32521483654,151.58851160994035,87
19620,-22937.763233313206,2787.023021780028,-20150.74021153318,147.9917991862268,87.1
19710,-22987.031531605026,2813.4375760848284,-20173.5939555202,149.39442032918853,87.1
19800,-22927.563994975004,2837.690336014001,-20089.873658961,150.68224951075644,87
19890,-23040.57694914867,2775.140381622229,-20265.43656752644,147.36082725585788,87.1
19980,-22876.482784113847,2783.900676805901,-20092.582107307946,147.82600168588684,87.1
20070,-22951.99409471797,2772.649809012364,-20179.344285705607,147.22857706680045,87.2
20160,-23160.8691831655,2850.4870009271463,-20310.382182238354,151.3617564431642,87
20250,-22844.683774439676,2831.8388955588835,-20012.844878880795,150.37153618186875,87
20340,-22824.02578072864,2815.5127572653764,-20008.513023463263,149.50461310267718,87
20430,-23016.17015783307,2831.4361838301147,-20184.733974002953,150.3501520623878,87
20520,-22895.8951665505,2776.606064099864,-20119.28910245064,147.4386554564884,87
20610,-23118.36058731613,2787.188935526651,-20331.17165178948,148.00060925836496,87
20700,-23135.718879965454,2784.8393360746804,-20350.879543890773,147.8758447883384,87
20790,-22860.94457990228,2807.105333969147,-20053.839245933133,149.05817628087638,87.1
20880,-22954.9866601057,2791.472788253821,-20163.51387185188,148.2280831857736,87
20970,-22990.532316529163,2820.618726006973,-20169.913590522192,149.77574164906963,87.1
21060,-22803.60584764069,2801.3104902296463,-20002.295357411043,148.75046825539187,87.1
21150,-23006.65391552185,2804.818904207975,-20201.835011313873,148.93676614130288,87
21240,-23021.61565387588,2811.025438845149,-20210.59021503073,149.2663350829618,87
21330,-23053.818767920384,2801.9401931454463,-20251.87857477494,148.7839056783101,87
21420,-22867.21186459661,2786.164798007422,-20081.047066589188,147.94622723392513,87.1
21510,-23003.82710081317,2794.0580076211986,-20209.76909319197,148.36535914742856,87.1
21600,-23100.55614251821,2816.7694871928625,-20283.786655325348,149.5713458571634,87.1
21690,-22990.334482945007,2822.936992121893,-20167.397490823114,149.89884230904207,87.1
21780,-22940.147517227408,2818.8957239216834,-20121.251793305724,149.6842496963262,87.1
21870,-22882.554042912467,2819.5886454333895,-20062.965397479078,149.72104404657406,87.1
21960,-22925.11300531347,2714.2625262185757,-20210.850479094894,144.12819398323015,87.1
22050,-23044.830789294618,2832.8501713858154,-20211.9806179088,150.42523524640163,87.1
22140,-23198.321974190214,2814.622390086033,-20383.69958410418,149.4573343253662,87.2
22230,-23180.936668791022,2876.5510648620625,-20304.38560392896,152.74576643722932,87.1
22320,-23238.23171705431,2800.53495587788,-20437.69676117643,148.70928713734884,87.1
22410,-22785.026696597924,2808.5475487361887,-19976.479147861737,149.134758338692,87.1
22500,-22901.25008492422,2809.55047731163,-20091.69960761259,149.1880141615449,87.2
22590,-23059.774098553695,2818.8848948602963,-20240.889203693398,149.68367466975997,87.2
22680,-22926.01940998496,2826.416980963236,-20099.602429021725,150.0836308112373,87.2
22770,-22785.159299916675,2787.2356269807665,-19997.923672935907,148.00308858926644,87.2
22860,-22842.952411759543,2818.6842774284755,-20024.26813433107,149.6730218210209,87.2
22950,-22693.164797651436,2781.796704820613,-19911.368092830824,147.71428011160958,87.2
23040,-22848.568787312746,2752.6353967802247,-20095.933390532522,146.1658054812262,87.2
23130,-22948.159398884556,2814.987407104365,-20133.17199178019,149.4767168438651,87.2
23220,-22839.54422043459,2825.2063620585623,-20014.337858376028,150.01934656656786,87.2
23310,-23063.73564301699,2809.8235728897444,-20253.912070127244,149.202515622652,87.2
23400,-22917.00158155983,2800.3344942787508,-20116.66708728108,148.69864256337473,87.2
23490,-22906.793621981837,2810.1951384771955,-20096.59848350464,149.22224587223116,87.2
23580,-23056.515545833972,2857.5652980266595,-20198.950247807312,151.73761624580862,87.3
23670,-23098.441331691036,2843.60762947907,-20254.833702211967,150.99645965518832,87.3
23760,-22763.78379228164,2794.002139276162,-19969.781653005477,148.36239252073227,87.2
23850,-22859.98996661484,2797.3489820793893,-20062.64098453545,148.54011092641906,87.2
23940,-22860.561647008333,2808.8340618381467,-20051.727585170185,149.14997227453603,87.3
24030,-23135.76017797916,2791.8237656385004,-20343.93641234066,148.24672019530905,87.3
24120,-23205.825383246265,2778.9174284707888,-20426.907954775477,147.56138963168357,87.3
24210,-23233.189809949778,2750.67681796607,-20482.51299198371,146.06180433007327,87.3
24300,-22838.017547875963,2842.8227249726133,-19995.19482290335,150.95478097898356,87.3
24390,-22976.060725706207,2823.703650771187,-20152.357074935022,149.93955212449177,87.2
24480,-22738.236340475385,2797.213688617669,-19941.022651857715,148.53292680104167,87.2
24570,-23094.334903769282,2725.88093669975,-20368.453967069534,144.7451352346501,87.2
24660,-22988.245332517195,2756.167437426966,-20232.07789509023,146.35335795066229,87.2
24750,-23234.597217364324,2767.498228224421,-20467.098989139904,146.95502650639855,87.3
24840,-23279.759578020865,2786.5105158319766,-20493.249062188886,147.96458495916337,87.2
24930,-23168.77163996827,2788.933902095474,-20379.837737872796,148.0932675320935,87.3
25020,-23028.445587322814,2834.6467025509382,-20193.798884771877,150.5206316164147,87.3
25110,-23146.073776407196,2839.6249317348193,-20306.448844672377,150.78497715210867,87.3
25200,-23175.28126532551,2834.624305116544,-20340.656960208966,150.51944230560267,87.3
25290,-23018.554346601624,2766.711054278064,-20251.84329232356,146.91322732222122,87.3
25380,-23185.52172292293,2780.375966263611,-20405.14575665932,147.63883844730296,87.3
25470,-23039.359233678493,2797.3815566140493,-20241.977677064446,148.54184064445667,87.3
25560,-23196.977115223723,2767.4448380898393,-20429.532277133883,146.95219147345705,87.3
25650,-23567.722866596407,2769.187786542848,-20798.53508005356,147.044742584601,87.3
25740,-23177.74917216564,2825.4142350519605,-20352.33493711368,150.03038468790908,87.3
25830,-23008.053901326944,2809.1245499860925,-20198.929351340852,149.16539728657247,87.3
25920,-23131.824177819595,2790.6851867484656,-20341.13899107113,148.18626129807893,87.3
26010,-23217.993786984254,2763.5523233351632,-20454.44146364909,146.7454977154932,87.3
26100,-23324.93546971868,2822.632062642644,-20502.303407076033,149.88265045777055,87.4
26190,-22926.799859631807,2754.9530742610636,-20171.846785370744,146.28887488454373,87.4
26280,-22776.16084474245,2817.601904633195,-19958.55894010926,149.61554748510335,87.3
26370,-22932.240237892373,2787.136615627507,-20145.103622264865,147.99783105526183,87.3
26460,-22925.198896076006,2805.366625294456,-20119.83227078155,148.9658503032948,87.3
