Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
-9.74144,1.27821,-8.46322,29369.9,-29768,1687.75
-9.6466,1.27673,-8.36987,31449.6,-29603.7,3934.23
-9.65388,1.26257,-8.39131,30576.6,-26637.9,6000.22
-9.65325,1.27064,-8.38261,30410.1,-27978.7,4516.67
-9.67327,1.26433,-8.40894,30214.3,-30149.1,2204.7
-9.69699,1.26416,-8.43284,29456.9,-27314.7,4200.03
-9.59401,1.23966,-8.35435,30484.6,-28043.9,4549.92
-9.62607,1.22473,-8.40134,29870,-26474.5,5468.64
-9.60455,1.22033,-8.38422,30801.5,-28834.4,4081.19
-9.54718,1.21054,-8.33664,30938,-27418.8,5607.45
-9.64715,1.21259,-8.43456,29131.8,-26535.8,4682.53
-9.67629,1.20625,-8.47004,29299.2,-27947.1,3475.42
-9.73012,1.20744,-8.52268,29834.6,-29546.7,2418.44
-9.64661,1.23303,-8.41358,29109.5,-27550.6,3644.8
-9.7065,1.35145,-8.35506,30511.6,-28307.6,4264.93
-9.61111,1.2457,-8.36541,30186,-26337.8,5976.49
-9.68241,1.27567,-8.40674,29571.5,-26820.2,4861.18
-9.57609,1.27526,-8.30083,30370.4,-28603.2,3859.56
-9.58294,1.27869,-8.30426,29449.1,-27679.7,3892.4
-9.61824,1.30568,-8.31256,30053.3,-28894.9,3253.4
-9.56491,1.30803,-8.25688,30423.6,-29789.9,2731.12
-9.5859,1.20649,-8.3794,28819.4,-27426.4,3449.77
-9.54773,1.17851,-8.36922,29059.7,-25342,5813.52
-9.50791,1.17343,-8.33447,28721.4,-24909,5887.15
-9.6326,1.28131,-8.35129,29700.1,-30032.2,1751.3
-9.62293,1.19572,-8.42721,29483.8,-27317.7,4232.71
-9.58364,1.19583,-8.38781,30972.9,-26909,6174.14
-9.61404,1.24962,-8.36441,31172.3,-29850.3,3434.27
-9.71041,1.22773,-8.48268,30334.6,-28357.7,4056.15
-9.60633,1.12833,-8.478,29418.2,-25680,5852.28
-9.63107,1.17756,-8.45352,29374.9,-26822,4621.79
-9.74211,1.24822,-8.49388,28866.5,-28230.4,2712.73
-9.66121,1.23789,-8.42332,29736.6,-27825.8,3997.64
-9.70677,1.23107,-8.4757,29911.1,-28291.7,3685.44
-9.63826,1.26573,-8.37253,29874.7,-28380.9,3590.88
-9.58643,1.20333,-8.3831,29488.5,-27927.5,3649.23
-9.58856,1.27237,-8.31619,28810.4,-27986.3,2923.2
-9.56264,1.25105,-8.31158,28300.6,-27578.1,2811
-9.5966,1.23059,-8.36601,28336.3,-26907.6,3457.96
-9.56465,1.23219,-8.33246,29078,-27126.7,4048.81
-9.53658,1.23463,-8.30195,28520.7,-27544.6,3040.8
-9.63912,1.2679,-8.37122,27864.7,-28259.2,1710.1
-9.60144,1.27019,-8.33125,29571.1,-28142.7,3558.09
-9.55077,1.22368,-8.32709,29457,-26691.2,4868.53
-9.63981,1.25445,-8.38536,28735.3,-29886.9,954.392
-9.73261,1.28844,-8.44417,29785.5,-29720.6,2145.02
-9.54261,1.15669,-8.38592,28812,-25897.3,5033.53
-9.73441,1.292,-8.44242,30415.8,-28603.6,3911.64
-9.55162,1.20928,-8.34233,28823.8,-28356.3,2600.81
-9.57928,1.2195,-8.35979,28271.2,-27521.1,2811.81
-9.6478,1.23665,-8.41115,29106.3,-27763.9,3489.4
-9.47619,1.17019,-8.306,30530.4,-24522,8109.35
-9.5584,1.2834,-8.275,28728.5,-28918.2,1909.74
-9.51927,1.21837,-8.3009,29564.7,-28242.4,3434.83
-9.55157,1.19808,-8.35349,28857.4,-28099.4,2858.24
-9.61978,1.25883,-8.36095,28821.6,-29160.5,1765.47
-9.74102,1.27348,-8.46754,28800.7,-28510.4,2363.19
-9.64184,1.27883,-8.363,30003.9,-28399.9,3715.3
-9.5906,1.22691,-8.3637,28868.1,-27989.7,2976.06
-9.67329,1.28948,-8.3838,29073.7,-29838.6,1350.41
-9.61462,1.27487,-8.33974,27474.9,-28755,764.765
-9.60922,1.24334,-8.36589,28751.2,-26322.9,4500.82
-9.64985,1.23836,-8.41149,28732.3,-27931.4,2887.98
-9.57423,1.25791,-8.31631,28734.2,-28414.1,2435.53
-9.67332,1.20541,-8.4679,29050.2,-26778.7,4348.9
-9.62678,1.24714,-8.37964,29619.1,-28001,3711.11
-9.60073,1.26771,-8.33302,29496.6,-28972.5,2589.34
-9.67977,1.22182,-8.45796,29646.6,-28287.4,3459.42
-9.58422,1.28227,-8.30195,29054.1,-26627.5,4498.21
-9.52324,1.19521,-8.32802,29353.7,-26092.9,5366.17
-9.60359,1.26252,-8.34107,29751.2,-27453.3,4404.07
-9.63431,1.26281,-8.3715,29570.1,-28815.4,2844.81
-9.67867,1.23913,-8.43954,30000.2,-29076.5,3026.66
-9.70492,1.31027,-8.39465,29559.2,-31028.9,622.828
-9.57364,1.18002,-8.39361,29757.9,-27338.9,4555.08
-9.70303,1.32053,-8.3825,29247.6,-29083.6,2234.95
-9.65862,1.36173,-8.29689,30577.5,-28875.8,3763.48
-9.59408,1.25889,-8.33519,29967.4,-30326.3,1771.21
-9.6613,1.26469,-8.39661,30262.5,-31020.8,1354.95
-9.65336,1.21992,-8.43344,29491.7,-29345.6,2235.26
-9.5581,1.20929,-8.34881,29911.2,-27898.4,4090.68
-9.67096,1.26891,-8.40205,29804.8,-28373.5,3473.03
-9.53097,1.14772,-8.38326,30028.6,-27140.5,4963.48
-9.52723,1.22892,-8.29831,29330,-28515.2,2930.13
-9.50605,1.22086,-8.2852,30191,-28343.5,3961.1
-9.60919,1.28144,-8.32775,30196.2,-29346.6,3008.19
-9.58347,1.19956,-8.3839,28804.9,-26807.7,4109.87
-9.54147,1.20773,-8.33373,29363.7,-28042.5,3400.9
-9.68635,1.27295,-8.4134,30329.7,-28370.4,4078.94
