#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
33300,-23009.652368749943,5698.72562102069,-17310.926747729252,302.60412315677814,82.2
33480,-22876.49058273385,5477.179005145046,-17399.311577588807,290.83992816060055,82.3
33660,-22879.48319567484,5466.910334418684,-17412.572861256154,290.2946585147565,82.3
33840,-23011.41393438322,5600.728730011489,-17410.685204371734,297.40045741674936,82.2
34020,-22921.43023271783,5434.290580606703,-17487.139652111127,288.56253932595854,82.2
34200,-23076.18715915692,5591.985841836658,-17484.201317320265,296.9362073043658,82.3
34380,-22971.160968794138,5511.504557004876,-17459.656411789263,292.6626257623419,82.3
34560,-22967.080974206096,5643.626530451549,-17323.45444375455,299.678344114722,82.2
34740,-22894.94414986395,5571.499897607325,-17323.444252256624,295.848397221408,82.3
34920,-22949.48339522812,5639.314581585018,-17310.1688136431,299.4493782734749,82.3
35100,-23098.85303161561,5720.444748077525,-17378.408283538083,303.75741563580567,82.3
35280,-22805.032279209525,5351.836082812911,-17453.196196396613,284.18417955492714,82.3
35460,-22893.69537616693,5553.040396255745,-17340.65497991118,294.8681918927286,82.3
35640,-22953.343109734124,5532.391462882569,-17420.951646851554,293.77172703496035,82.3
35820,-22968.39332946422,5616.114699058963,-17352.278630405257,298.2174572132222,82.3
36000,-23017.803966644467,5773.064246459825,-17244.739720184643,306.5515275527211,82.3
36180,-22735.697251873993,5614.569120946937,-17121.128130927056,298.1353865292723,82.3
36360,-22810.087409687985,5676.380405627701,-17133.707004060285,301.41758519014877,82.3
36540,-22623.643843398226,5562.458464186978,-17061.18537921125,295.36829426257236,82.3
36720,-22781.13421827607,5718.425054000153,-17062.70916427592,303.6501692449505,82.3
36900,-22849.820993260204,5807.707214076292,-17042.113779183914,308.39108003099113,82.3
37080,-22747.09780402518,5648.227941929871,-17098.869862095307,299.9226805117131,82.3
37260,-22836.815911527985,5805.428566696306,-17031.38734483168,308.2700831383068,82.3
37440,-22771.695319252307,5696.9209005977855,-17074.77441865452,302.5082919346008,82.3
37620,-22689.118509049847,5666.545056246454,-17022.573452803394,300.89532504404264,82.3
37800,-22681.713396846462,5650.125868443519,-17031.587528402943,300.02346100662936,82.3
37980,-22690.573083580268,5581.859195267102,-17108.713888313167,296.39847918592545,82.3
38160,-22644.6392191208,5674.422093068427,-16970.217126052372,301.31359817721375,82.3
38340,-22602.401606417596,5715.48254918782,-16886.919057229774,303.4939213137751,82.3
38520,-22604.149999385176,5640.8339830675795,-16963.316016317596,299.5300589701657,82.3
